dataset,profile_id,layer_id,profile_code,layer_name,longitude,latitude,country_name,region,continent,date,dataset_id,upper_depth,lower_depth,layer_thickness_cm,organic_surface,BDOD,OrgC,TOTC,OrgC_Stock,TOTC_Stock
WOSIS 2023,1385425,3351331,N5,NA,-133.532562255859,68.3169479370117,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.29,13.6,13.6,26.316000000000003,26.316000000000003
WOSIS 2023,1385425,3351332,N5,NA,-133.532562255859,68.3169479370117,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.65,18.4,18.4,45.53999999999999,45.53999999999999
WOSIS 2023,1385425,3351333,N5,NA,-133.532562255859,68.3169479370117,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.4,15.900001,15.900001,33.39000209999999,33.39000209999999
WOSIS 2023,1420110,3351338,S2,NA,-112.221557617188,59.5248603820801,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.1,10.700001,14.2,17.655001650000003,23.43
WOSIS 2023,1420110,3351339,S2,NA,-112.221557617188,59.5248603820801,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.49,2.6,2.5,5.811,5.5875
WOSIS 2023,1420110,3351340,S2,NA,-112.221557617188,59.5248603820801,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.33,2.2,2.3,4.389000000000001,4.5885
WOSIS 2023,1420110,3351341,S2,NA,-112.221557617188,59.5248603820801,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.51,1.7,1.5999999,3.8504999999999994,3.6239997734999996
WOSIS 2023,1425092,798317,88P0843,Ap,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,0,10,10,FALSE,1.54,30,29.8,46.2,45.892
WOSIS 2023,1425092,798318,88P0843,NA,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,10,30,20,FALSE,1.59,8,9.4,25.44,29.892000000000003
WOSIS 2023,1425092,798319,88P0843,Bt,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,30,63,33,FALSE,1.56,4.8,20.8,24.7104,107.07840000000002
WOSIS 2023,1425092,798320,88P0843,2BCt1,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,63,99,36,FALSE,1.5,4,21.1,21.6,113.94000000000001
